AGE,COUNT,EVENT_TYPE,POPULATION,RACE,RATE,SEX,SITE,YEAR
50-54,1326.0,Incidence,8540542,All Races,15.5,Male and Female,Cervix,1999
50-54,2409.0,Mortality,16923612,All Races,14.2,Male and Female,Colon and Rectum,1999
50-54,8655.0,Incidence,16718890,All Races,51.8,Male and Female,Colon and Rectum,1999
50-54,286.0,Mortality,8644571,All Races,3.3,Male and Female,"Corpus and Uterus, NOS",1999
50-54,3894.0,Incidence,8540542,All Races,45.6,Male and Female,"Corpus and Uterus, NOS",1999
50-54,793.0,Mortality,16923612,All Races,4.7,Male and Female,Esophagus,1999
50-54,1055.0,Incidence,16718890,All Races,6.3,Male and Female,Esophagus,1999
50-54,3525.0,Mortality,8644571,All Races,40.8,Male and Female,Female Breast,1999
50-54,22204.0,Incidence,8540542,All Races,260.0,Male and Female,Female Breast,1999
50-54,5733.0,Incidence,8540542,All Races,67.1,Male and Female,"Female Breast, <i>in situ</i>",1999
50-54,83.0,Mortality,16923612,All Races,0.5,Male and Female,Hodgkin Lymphoma,1999
50-54,405.0,Incidence,16718890,All Races,2.4,Male and Female,Hodgkin Lymphoma,1999
50-54,81.0,Incidence,16718890,All Races,0.5,Male and Female,Kaposi Sarcoma,1999
50-54,720.0,Mortality,16923612,All Races,4.3,Male and Female,Kidney and Renal Pelvis,1999
50-54,2929.0,Incidence,16718890,All Races,17.5,Male and Female,Kidney and Renal Pelvis,1999
50-54,254.0,Mortality,16923612,All Races,1.5,Male and Female,Larynx,1999
50-54,1246.0,Incidence,16718890,All Races,7.5,Male and Female,Larynx,1999
50-54,747.0,Mortality,16923612,All Races,4.4,Male and Female,Leukemias,1999
50-54,1846.0,Incidence,16718890,All Races,11.0,Male and Female,Leukemias,1999
50-54,826.0,Mortality,16923612,All Races,4.9,Male and Female,Liver and Intrahepatic Bile Duct,1999
50-54,1066.0,Incidence,16718890,All Races,6.4,Male and Female,Liver and Intrahepatic Bile Duct,1999
50-54,7514.0,Mortality,16923612,All Races,44.4,Male and Female,Lung and Bronchus,1999
50-54,10853.0,Incidence,16718890,All Races,64.9,Male and Female,Lung and Bronchus,1999
50-54,3525.0,Mortality,8644571,All Races,40.8,Male and Female,Male and Female Breast,1999
50-54,22204.0,Incidence,8540542,All Races,260.0,Male and Female,Male and Female Breast,1999
50-54,5733.0,Incidence,8540542,All Races,67.1,Male and Female,"Male and Female Breast, <i>in situ</i>",1999
50-54,602.0,Mortality,16923612,All Races,3.6,Male and Female,Melanomas of the Skin,1999
50-54,4026.0,Incidence,16718890,All Races,24.1,Male and Female,Melanomas of the Skin,1999
50-54,88.0,Mortality,16923612,All Races,0.5,Male and Female,Mesothelioma,1999
50-54,138.0,Incidence,16718890,All Races,0.8,Male and Female,Mesothelioma,1999
50-54,411.0,Mortality,16923612,All Races,2.4,Male and Female,Myeloma,1999
50-54,952.0,Incidence,16718890,All Races,5.7,Male and Female,Myeloma,1999
50-54,1045.0,Mortality,16923612,All Races,6.2,Male and Female,Non-Hodgkin Lymphoma,1999
50-54,3689.0,Incidence,16718890,All Races,22.1,Male and Female,Non-Hodgkin Lymphoma,1999
50-54,612.0,Mortality,16923612,All Races,3.6,Male and Female,Oral Cavity and Pharynx,1999
50-54,3184.0,Incidence,16718890,All Races,19.0,Male and Female,Oral Cavity and Pharynx,1999
50-54,933.0,Mortality,8644571,All Races,10.8,Male and Female,Ovary,1999
50-54,2059.0,Incidence,8540542,All Races,24.1,Male and Female,Ovary,1999
50-54,1466.0,Mortality,16923612,All Races,8.7,Male and Female,Pancreas,1999
50-54,1679.0,Incidence,16718890,All Races,10.0,Male and Female,Pancreas,1999
50-54,274.0,Mortality,8279041,All Races,3.3,Male and Female,Prostate,1999
50-54,10692.0,Incidence,8178348,All Races,130.7,Male and Female,Prostate,1999
50-54,651.0,Mortality,16923612,All Races,3.8,Male and Female,Stomach,1999
50-54,1162.0,Incidence,16718890,All Races,7.0,Male and Female,Stomach,1999
50-54,19.0,Mortality,8279041,All Races,0.2,Male and Female,Testis,1999
50-54,276.0,Incidence,8178348,All Races,3.4,Male and Female,Testis,1999
50-54,61.0,Mortality,16923612,All Races,0.4,Male and Female,Thyroid,1999
50-54,1868.0,Incidence,16718890,All Races,11.2,Male and Female,Thyroid,1999
50-54,323.0,Mortality,16923612,All Races,1.9,Male and Female,Urinary Bladder,1999
50-54,2919.0,Incidence,16718890,All Races,17.5,Male and Female,Urinary Bladder,1999
55-59,38637.0,Mortality,13084821,All Races,295.3,Male and Female,All Cancer Sites Combined,1999
55-59,117904.0,Incidence,12922630,All Races,912.4,Male and Female,All Cancer Sites Combined,1999
55-59,1206.0,Mortality,13084821,All Races,9.2,Male and Female,Brain and Other Nervous System,1999
55-59,1445.0,Incidence,12922630,All Races,11.2,Male and Female,Brain and Other Nervous System,1999
55-59,393.0,Mortality,6765034,All Races,5.8,Male and Female,Cervix,1999
55-59,1144.0,Incidence,6680872,All Races,17.1,Male and Female,Cervix,1999
55-59,3294.0,Mortality,13084821,All Races,25.2,Male and Female,Colon and Rectum,1999
55-59,11265.0,Incidence,12922630,All Races,87.2,Male and Female,Colon and Rectum,1999
55-59,427.0,Mortality,6765034,All Races,6.3,Male and Female,"Corpus and Uterus, NOS",1999
55-59,4396.0,Incidence,6680872,All Races,65.8,Male and Female,"Corpus and Uterus, NOS",1999
55-59,1139.0,Mortality,13084821,All Races,8.7,Male and Female,Esophagus,1999
55-59,1347.0,Incidence,12922630,All Races,10.4,Male and Female,Esophagus,1999
55-59,3646.0,Mortality,6765034,All Races,53.9,Male and Female,Female Breast,1999
55-59,21604.0,Incidence,6680872,All Races,323.4,Male and Female,Female Breast,1999
55-59,4910.0,Incidence,6680872,All Races,73.5,Male and Female,"Female Breast, <i>in situ</i>",1999
55-59,87.0,Mortality,13084821,All Races,0.7,Male and Female,Hodgkin Lymphoma,1999
55-59,367.0,Incidence,12922630,All Races,2.8,Male and Female,Hodgkin Lymphoma,1999
55-59,53.0,Incidence,12922630,All Races,0.4,Male and Female,Kaposi Sarcoma,1999
55-59,959.0,Mortality,13084821,All Races,7.3,Male and Female,Kidney and Renal Pelvis,1999
55-59,3348.0,Incidence,12922630,All Races,25.9,Male and Female,Kidney and Renal Pelvis,1999
55-59,410.0,Mortality,13084821,All Races,3.1,Male and Female,Larynx,1999
55-59,1657.0,Incidence,12922630,All Races,12.8,Male and Female,Larynx,1999
55-59,1115.0,Mortality,13084821,All Races,8.5,Male and Female,Leukemias,1999
55-59,2340.0,Incidence,12922630,All Races,18.1,Male and Female,Leukemias,1999
55-59,928.0,Mortality,13084821,All Races,7.1,Male and Female,Liver and Intrahepatic Bile Duct,1999
55-59,1125.0,Incidence,12922630,All Races,8.7,Male and Female,Liver and Intrahepatic Bile Duct,1999
55-59,12157.0,Mortality,13084821,All Races,92.9,Male and Female,Lung and Bronchus,1999
55-59,17330.0,Incidence,12922630,All Races,134.1,Male and Female,Lung and Bronchus,1999
55-59,3646.0,Mortality,6765034,All Races,53.9,Male and Female,Male and Female Breast,1999
55-59,21604.0,Incidence,6680872,All Races,323.4,Male and Female,Male and Female Breast,1999
55-59,4910.0,Incidence,6680872,All Races,73.5,Male and Female,"Male and Female Breast, <i>in situ</i>",1999
55-59,615.0,Mortality,13084821,All Races,4.7,Male and Female,Melanomas of the Skin,1999
55-59,3641.0,Incidence,12922630,All Races,28.2,Male and Female,Melanomas of the Skin,1999
55-59,159.0,Mortality,13084821,All Races,1.2,Male and Female,Mesothelioma,1999
55-59,227.0,Incidence,12922630,All Races,1.8,Male and Female,Mesothelioma,1999
55-59,709.0,Mortality,13084821,All Races,5.4,Male and Female,Myeloma,1999
55-59,1279.0,Incidence,12922630,All Races,9.9,Male and Female,Myeloma,1999
55-59,1414.0,Mortality,13084821,All Races,10.8,Male and Female,Non-Hodgkin Lymphoma,1999
55-59,4398.0,Incidence,12922630,All Races,34.0,Male and Female,Non-Hodgkin Lymphoma,1999
55-59,753.0,Mortality,13084821,All Races,5.8,Male and Female,Oral Cavity and Pharynx,1999
55-59,3580.0,Incidence,12922630,All Races,27.7,Male and Female,Oral Cavity and Pharynx,1999
55-59,1081.0,Mortality,6765034,All Races,16.0,Male and Female,Ovary,1999
55-59,2101.0,Incidence,6680872,All Races,31.4,Male and Female,Ovary,1999
55-59,2039.0,Mortality,13084821,All Races,15.6,Male and Female,Pancreas,1999
55-59,2176.0,Incidence,12922630,All Races,16.8,Male and Female,Pancreas,1999
55-59,636.0,Mortality,6319787,All Races,10.1,Male and Female,Prostate,1999
55-59,19658.0,Incidence,6241758,All Races,314.9,Male and Female,Prostate,1999
55-59,808.0,Mortality,13084821,All Races,6.2,Male and Female,Stomach,1999
55-59,1454.0,Incidence,12922630,All Races,11.3,Male and Female,Stomach,1999
55-59,16.0,Mortality,6319787,All Races,0.3,Male and Female,Testis,1999
55-59,148.0,Incidence,6241758,All Races,2.4,Male and Female,Testis,1999
55-59,97.0,Mortality,13084821,All Races,0.7,Male and Female,Thyroid,1999
55-59,1428.0,Incidence,12922630,All Races,11.1,Male and Female,Thyroid,1999
55-59,492.0,Mortality,13084821,All Races,3.8,Male and Female,Urinary Bladder,1999
55-59,4278.0,Incidence,12922630,All Races,33.1,Male and Female,Urinary Bladder,1999
60-64,50430.0,Mortality,10693205,All Races,471.6,Male and Female,All Cancer Sites Combined,1999
60-64,141115.0,Incidence,10551544,All Races,1337.4,Male and Female,All Cancer Sites Combined,1999
60-64,1247.0,Mortality,10693205,All Races,11.7,Male and Female,Brain and Other Nervous System,1999
60-64,1513.0,Incidence,10551544,All Races,14.3,Male and Female,Brain and Other Nervous System,1999
60-64,376.0,Mortality,5613729,All Races,6.7,Male and Female,Cervix,1999
60-64,924.0,Incidence,5538848,All Races,16.7,Male and Female,Cervix,1999
60-64,4651.0,Mortality,10693205,All Races,43.5,Male and Female,Colon and Rectum,1999
60-64,14357.0,Incidence,10551544,All Races,136.1,Male and Female,Colon and Rectum,1999
60-64,592.0,Mortality,5613729,All Races,10.5,Male and Female,"Corpus and Uterus, NOS",1999
60-64,4456.0,Incidence,5538848,All Races,80.4,Male and Female,"Corpus and Uterus, NOS",1999
60-64,1392.0,Mortality,10693205,All Races,13.0,Male and Female,Esophagus,1999
60-64,1683.0,Incidence,10551544,All Races,16.0,Male and Female,Esophagus,1999
60-64,3683.0,Mortality,5613729,All Races,65.6,Male and Female,Female Breast,1999
60-64,20646.0,Incidence,5538848,All Races,372.7,Male and Female,Female Breast,1999
60-64,4456.0,Incidence,5538848,All Races,80.4,Male and Female,"Female Breast, <i>in situ</i>",1999
60-64,91.0,Mortality,10693205,All Races,0.9,Male and Female,Hodgkin Lymphoma,1999
60-64,341.0,Incidence,10551544,All Races,3.2,Male and Female,Hodgkin Lymphoma,1999
60-64,44.0,Incidence,10551544,All Races,0.4,Male and Female,Kaposi Sarcoma,1999
60-64,1152.0,Mortality,10693205,All Races,10.8,Male and Female,Kidney and Renal Pelvis,1999
60-64,3857.0,Incidence,10551544,All Races,36.6,Male and Female,Kidney and Renal Pelvis,1999
60-64,494.0,Mortality,10693205,All Races,4.6,Male and Female,Larynx,1999
60-64,1914.0,Incidence,10551544,All Races,18.1,Male and Female,Larynx,1999
60-64,1411.0,Mortality,10693205,All Races,13.2,Male and Female,Leukemias,1999
60-64,2746.0,Incidence,10551544,All Races,26.0,Male and Female,Leukemias,1999
60-64,1163.0,Mortality,10693205,All Races,10.9,Male and Female,Liver and Intrahepatic Bile Duct,1999
60-64,1336.0,Incidence,10551544,All Races,12.7,Male and Female,Liver and Intrahepatic Bile Duct,1999
60-64,17168.0,Mortality,10693205,All Races,160.6,Male and Female,Lung and Bronchus,1999
60-64,23526.0,Incidence,10551544,All Races,223.0,Male and Female,Lung and Bronchus,1999
60-64,3683.0,Mortality,5613729,All Races,65.6,Male and Female,Male and Female Breast,1999
60-64,20646.0,Incidence,5538848,All Races,372.7,Male and Female,Male and Female Breast,1999
60-64,4456.0,Incidence,5538848,All Races,80.4,Male and Female,"Male and Female Breast, <i>in situ</i>",1999
60-64,648.0,Mortality,10693205,All Races,6.1,Male and Female,Melanomas of the Skin,1999
60-64,3540.0,Incidence,10551544,All Races,33.5,Male and Female,Melanomas of the Skin,1999
60-64,210.0,Mortality,10693205,All Races,2.0,Male and Female,Mesothelioma,1999
60-64,268.0,Incidence,10551544,All Races,2.5,Male and Female,Mesothelioma,1999
60-64,920.0,Mortality,10693205,All Races,8.6,Male and Female,Myeloma,1999
60-64,1595.0,Incidence,10551544,All Races,15.1,Male and Female,Myeloma,1999
60-64,1740.0,Mortality,10693205,All Races,16.3,Male and Female,Non-Hodgkin Lymphoma,1999
60-64,4826.0,Incidence,10551544,All Races,45.7,Male and Female,Non-Hodgkin Lymphoma,1999
60-64,863.0,Mortality,10693205,All Races,8.1,Male and Female,Oral Cavity and Pharynx,1999
60-64,3570.0,Incidence,10551544,All Races,33.8,Male and Female,Oral Cavity and Pharynx,1999
60-64,1345.0,Mortality,5613729,All Races,24.0,Male and Female,Ovary,1999
60-64,2201.0,Incidence,5538848,All Races,39.7,Male and Female,Ovary,1999
60-64,2668.0,Mortality,10693205,All Races,25.0,Male and Female,Pancreas,1999
60-64,2764.0,Incidence,10551544,All Races,26.2,Male and Female,Pancreas,1999
60-64,1310.0,Mortality,5079476,All Races,25.8,Male and Female,Prostate,1999
60-64,28998.0,Incidence,5012696,All Races,578.5,Male and Female,Prostate,1999
60-64,1052.0,Mortality,10693205,All Races,9.8,Male and Female,Stomach,1999
60-64,1862.0,Incidence,10551544,All Races,17.6,Male and Female,Stomach,1999
60-64,79.0,Incidence,5012696,All Races,1.6,Male and Female,Testis,1999
60-64,120.0,Mortality,10693205,All Races,1.1,Male and Female,Thyroid,1999
60-64,1269.0,Incidence,10551544,All Races,12.0,Male and Female,Thyroid,1999
60-64,752.0,Mortality,10693205,All Races,7.0,Male and Female,Urinary Bladder,1999
60-64,5607.0,Incidence,10551544,All Races,53.1,Male and Female,Urinary Bladder,1999
65-69,66814.0,Mortality,9541498,All Races,700.2,Male and Female,All Cancer Sites Combined,1999
65-69,175730.0,Incidence,9416383,All Races,1866.2,Male and Female,All Cancer Sites Combined,1999
65-69,1498.0,Mortality,9541498,All Races,15.7,Male and Female,Brain and Other Nervous System,1999
65-69,1708.0,Incidence,9416383,All Races,18.1,Male and Female,Brain and Other Nervous System,1999
65-69,350.0,Mortality,5141988,All Races,6.8,Male and Female,Cervix,1999
65-69,827.0,Incidence,5073442,All Races,16.3,Male and Female,Cervix,1999
65-69,6100.0,Mortality,9541498,All Races,63.9,Male and Female,Colon and Rectum,1999
65-69,19421.0,Incidence,9416383,All Races,206.2,Male and Female,Colon and Rectum,1999
65-69,835.0,Mortality,5141988,All Races,16.2,Male and Female,"Corpus and Uterus, NOS",1999
65-69,4688.0,Incidence,5073442,All Races,92.4,Male and Female,"Corpus and Uterus, NOS",1999
65-69,1739.0,Mortality,9541498,All Races,18.2,Male and Female,Esophagus,1999
65-69,2013.0,Incidence,9416383,All Races,21.4,Male and Female,Esophagus,1999
65-69,4100.0,Mortality,5141988,All Races,79.7,Male and Female,Female Breast,1999
65-69,21398.0,Incidence,5073442,All Races,421.8,Male and Female,Female Breast,1999
65-69,4389.0,Incidence,5073442,All Races,86.5,Male and Female,"Female Breast, <i>in situ</i>",1999
65-69,120.0,Mortality,9541498,All Races,1.3,Male and Female,Hodgkin Lymphoma,1999
65-69,322.0,Incidence,9416383,All Races,3.4,Male and Female,Hodgkin Lymphoma,1999
65-69,45.0,Incidence,9416383,All Races,0.5,Male and Female,Kaposi Sarcoma,1999
65-69,1374.0,Mortality,9541498,All Races,14.4,Male and Female,Kidney and Renal Pelvis,1999
65-69,4398.0,Incidence,9416383,All Races,46.7,Male and Female,Kidney and Renal Pelvis,1999
65-69,584.0,Mortality,9541498,All Races,6.1,Male and Female,Larynx,1999
65-69,2085.0,Incidence,9416383,All Races,22.1,Male and Female,Larynx,1999
65-69,2091.0,Mortality,9541498,All Races,21.9,Male and Female,Leukemias,1999
65-69,3487.0,Incidence,9416383,All Races,37.0,Male and Female,Leukemias,1999
65-69,1558.0,Mortality,9541498,All Races,16.3,Male and Female,Liver and Intrahepatic Bile Duct,1999
65-69,1699.0,Incidence,9416383,All Races,18.0,Male and Female,Liver and Intrahepatic Bile Duct,1999
65-69,23219.0,Mortality,9541498,All Races,243.3,Male and Female,Lung and Bronchus,1999
65-69,31266.0,Incidence,9416383,All Races,332.0,Male and Female,Lung and Bronchus,1999
65-69,4100.0,Mortality,5141988,All Races,79.7,Male and Female,Male and Female Breast,1999
65-69,21398.0,Incidence,5073442,All Races,421.8,Male and Female,Male and Female Breast,1999
65-69,4389.0,Incidence,5073442,All Races,86.5,Male and Female,"Male and Female Breast, <i>in situ</i>",1999
65-69,791.0,Mortality,9541498,All Races,8.3,Male and Female,Melanomas of the Skin,1999
65-69,3888.0,Incidence,9416383,All Races,41.3,Male and Female,Melanomas of the Skin,1999
65-69,320.0,Mortality,9541498,All Races,3.4,Male and Female,Mesothelioma,1999
65-69,425.0,Incidence,9416383,All Races,4.5,Male and Female,Mesothelioma,1999
65-69,1301.0,Mortality,9541498,All Races,13.6,Male and Female,Myeloma,1999
65-69,2041.0,Incidence,9416383,All Races,21.7,Male and Female,Myeloma,1999
65-69,2441.0,Mortality,9541498,All Races,25.6,Male and Female,Non-Hodgkin Lymphoma,1999
65-69,6061.0,Incidence,9416383,All Races,64.4,Male and Female,Non-Hodgkin Lymphoma,1999
65-69,889.0,Mortality,9541498,All Races,9.3,Male and Female,Oral Cavity and Pharynx,1999
65-69,3674.0,Incidence,9416383,All Races,39.0,Male and Female,Oral Cavity and Pharynx,1999
65-69,1626.0,Mortality,5141988,All Races,31.6,Male and Female,Ovary,1999
65-69,2288.0,Incidence,5073442,All Races,45.1,Male and Female,Ovary,1999
65-69,3632.0,Mortality,9541498,All Races,38.1,Male and Female,Pancreas,1999
65-69,3815.0,Incidence,9416383,All Races,40.5,Male and Female,Pancreas,1999
65-69,2711.0,Mortality,4399510,All Races,61.6,Male and Female,Prostate,1999
65-69,39570.0,Incidence,4342941,All Races,911.1,Male and Female,Prostate,1999
65-69,1359.0,Mortality,9541498,All Races,14.2,Male and Female,Stomach,1999
65-69,2474.0,Incidence,9416383,All Races,26.3,Male and Female,Stomach,1999
65-69,59.0,Incidence,4342941,All Races,1.4,Male and Female,Testis,1999
65-69,124.0,Mortality,9541498,All Races,1.3,Male and Female,Thyroid,1999
65-69,1025.0,Incidence,9416383,All Races,10.9,Male and Female,Thyroid,1999
65-69,1126.0,Mortality,9541498,All Races,11.8,Male and Female,Urinary Bladder,1999
65-69,8032.0,Incidence,9416383,All Races,85.3,Male and Female,Urinary Bladder,1999
70-74,85524.0,Mortality,8877411,All Races,963.4,Male and Female,All Cancer Sites Combined,1999
70-74,196399.0,Incidence,8763864,All Races,2241.0,Male and Female,All Cancer Sites Combined,1999
70-74,1621.0,Mortality,8877411,All Races,18.3,Male and Female,Brain and Other Nervous System,1999
70-74,1899.0,Incidence,8763864,All Races,21.7,Male and Female,Brain and Other Nervous System,1999
70-74,346.0,Mortality,4983436,All Races,6.9,Male and Female,Cervix,1999
70-74,745.0,Incidence,4918966,All Races,15.1,Male and Female,Cervix,1999
70-74,8165.0,Mortality,8877411,All Races,92.0,Male and Female,Colon and Rectum,1999
70-74,23449.0,Incidence,8763864,All Races,267.6,Male and Female,Colon and Rectum,1999
70-74,972.0,Mortality,4983436,All Races,19.5,Male and Female,"Corpus and Uterus, NOS",1999
70-74,4504.0,Incidence,4918966,All Races,91.6,Male and Female,"Corpus and Uterus, NOS",1999
70-74,1955.0,Mortality,8877411,All Races,22.0,Male and Female,Esophagus,1999
70-74,2201.0,Incidence,8763864,All Races,25.1,Male and Female,Esophagus,1999
70-74,4906.0,Mortality,4983436,All Races,98.4,Male and Female,Female Breast,1999
70-74,22969.0,Incidence,4918966,All Races,466.9,Male and Female,Female Breast,1999
70-74,4274.0,Incidence,4918966,All Races,86.9,Male and Female,"Female Breast, <i>in situ</i>",1999
70-74,163.0,Mortality,8877411,All Races,1.8,Male and Female,Hodgkin Lymphoma,1999
70-74,364.0,Incidence,8763864,All Races,4.2,Male and Female,Hodgkin Lymphoma,1999
70-74,48.0,Incidence,8763864,All Races,0.5,Male and Female,Kaposi Sarcoma,1999
70-74,1702.0,Mortality,8877411,All Races,19.2,Male and Female,Kidney and Renal Pelvis,1999
70-74,4751.0,Incidence,8763864,All Races,54.2,Male and Female,Kidney and Renal Pelvis,1999
70-74,655.0,Mortality,8877411,All Races,7.4,Male and Female,Larynx,1999
70-74,1887.0,Incidence,8763864,All Races,21.5,Male and Female,Larynx,1999
70-74,2946.0,Mortality,8877411,All Races,33.2,Male and Female,Leukemias,1999
70-74,4504.0,Incidence,8763864,All Races,51.4,Male and Female,Leukemias,1999
70-74,1933.0,Mortality,8877411,All Races,21.8,Male and Female,Liver and Intrahepatic Bile Duct,1999
70-74,1878.0,Incidence,8763864,All Races,21.4,Male and Female,Liver and Intrahepatic Bile Duct,1999
70-74,28592.0,Mortality,8877411,All Races,322.1,Male and Female,Lung and Bronchus,1999
70-74,36308.0,Incidence,8763864,All Races,414.3,Male and Female,Lung and Bronchus,1999
70-74,4906.0,Mortality,4983436,All Races,98.4,Male and Female,Male and Female Breast,1999
70-74,22969.0,Incidence,4918966,All Races,466.9,Male and Female,Male and Female Breast,1999
70-74,4274.0,Incidence,4918966,All Races,86.9,Male and Female,"Male and Female Breast, <i>in situ</i>",1999
70-74,861.0,Mortality,8877411,All Races,9.7,Male and Female,Melanomas of the Skin,1999
70-74,4196.0,Incidence,8763864,All Races,47.9,Male and Female,Melanomas of the Skin,1999
70-74,452.0,Mortality,8877411,All Races,5.1,Male and Female,Mesothelioma,1999
70-74,570.0,Incidence,8763864,All Races,6.5,Male and Female,Mesothelioma,1999
70-74,1749.0,Mortality,8877411,All Races,19.7,Male and Female,Myeloma,1999
70-74,2444.0,Incidence,8763864,All Races,27.9,Male and Female,Myeloma,1999
70-74,3407.0,Mortality,8877411,All Races,38.4,Male and Female,Non-Hodgkin Lymphoma,1999
70-74,6952.0,Incidence,8763864,All Races,79.3,Male and Female,Non-Hodgkin Lymphoma,1999
70-74,1007.0,Mortality,8877411,All Races,11.3,Male and Female,Oral Cavity and Pharynx,1999
70-74,3703.0,Incidence,8763864,All Races,42.3,Male and Female,Oral Cavity and Pharynx,1999
70-74,1986.0,Mortality,4983436,All Races,39.9,Male and Female,Ovary,1999
70-74,2564.0,Incidence,4918966,All Races,52.1,Male and Female,Ovary,1999
70-74,4661.0,Mortality,8877411,All Races,52.5,Male and Female,Pancreas,1999
70-74,4819.0,Incidence,8763864,All Races,55.0,Male and Female,Pancreas,1999
70-74,4605.0,Mortality,3893975,All Races,118.3,Male and Female,Prostate,1999
70-74,40289.0,Incidence,3844898,All Races,1047.9,Male and Female,Prostate,1999
70-74,1793.0,Mortality,8877411,All Races,20.2,Male and Female,Stomach,1999
70-74,3082.0,Incidence,8763864,All Races,35.2,Male and Female,Stomach,1999
70-74,49.0,Incidence,3844898,All Races,1.3,Male and Female,Testis,1999
70-74,168.0,Mortality,8877411,All Races,1.9,Male and Female,Thyroid,1999
70-74,917.0,Incidence,8763864,All Races,10.5,Male and Female,Thyroid,1999
70-74,1797.0,Mortality,8877411,All Races,20.2,Male and Female,Urinary Bladder,1999
70-74,10344.0,Incidence,8763864,All Races,118.0,Male and Female,Urinary Bladder,1999
75-79,89874.0,Mortality,7342606,All Races,1224.0,Male and Female,All Cancer Sites Combined,1999
75-79,177817.0,Incidence,7251311,All Races,2452.2,Male and Female,All Cancer Sites Combined,1999
75-79,1543.0,Mortality,7342606,All Races,21.0,Male and Female,Brain and Other Nervous System,1999
75-79,1645.0,Incidence,7251311,All Races,22.7,Male and Female,Brain and Other Nervous System,1999
75-79,345.0,Mortality,4331221,All Races,8.0,Male and Female,Cervix,1999
75-79,651.0,Incidence,4276338,All Races,15.2,Male and Female,Cervix,1999
75-79,9494.0,Mortality,7342606,All Races,129.3,Male and Female,Colon and Rectum,1999
75-79,24708.0,Incidence,7251311,All Races,340.7,Male and Female,Colon and Rectum,1999
75-79,1061.0,Mortality,4331221,All Races,24.5,Male and Female,"Corpus and Uterus, NOS",1999
75-79,3915.0,Incidence,4276338,All Races,91.6,Male and Female,"Corpus and Uterus, NOS",1999
75-79,1784.0,Mortality,7342606,All Races,24.3,Male and Female,Esophagus,1999
75-79,1886.0,Incidence,7251311,All Races,26.0,Male and Female,Esophagus,1999
75-79,5084.0,Mortality,4331221,All Races,117.4,Male and Female,Female Breast,1999
75-79,20927.0,Incidence,4276338,All Races,489.4,Male and Female,Female Breast,1999
75-79,3546.0,Incidence,4276338,All Races,82.9,Male and Female,"Female Breast, <i>in situ</i>",1999
75-79,149.0,Mortality,7342606,All Races,2.0,Male and Female,Hodgkin Lymphoma,1999
75-79,302.0,Incidence,7251311,All Races,4.2,Male and Female,Hodgkin Lymphoma,1999
75-79,59.0,Incidence,7251311,All Races,0.8,Male and Female,Kaposi Sarcoma,1999
75-79,1696.0,Mortality,7342606,All Races,23.1,Male and Female,Kidney and Renal Pelvis,1999
75-79,4242.0,Incidence,7251311,All Races,58.5,Male and Female,Kidney and Renal Pelvis,1999
75-79,529.0,Mortality,7342606,All Races,7.2,Male and Female,Larynx,1999
75-79,1337.0,Incidence,7251311,All Races,18.4,Male and Female,Larynx,1999
75-79,3408.0,Mortality,7342606,All Races,46.4,Male and Female,Leukemias,1999
75-79,4586.0,Incidence,7251311,All Races,63.2,Male and Female,Leukemias,1999
75-79,1914.0,Mortality,7342606,All Races,26.1,Male and Female,Liver and Intrahepatic Bile Duct,1999
75-79,1804.0,Incidence,7251311,All Races,24.9,Male and Female,Liver and Intrahepatic Bile Duct,1999
75-79,26544.0,Mortality,7342606,All Races,361.5,Male and Female,Lung and Bronchus,1999
75-79,31282.0,Incidence,7251311,All Races,431.4,Male and Female,Lung and Bronchus,1999
75-79,5084.0,Mortality,4331221,All Races,117.4,Male and Female,Male and Female Breast,1999
75-79,20927.0,Incidence,4276338,All Races,489.4,Male and Female,Male and Female Breast,1999
75-79,3546.0,Incidence,4276338,All Races,82.9,Male and Female,"Male and Female Breast, <i>in situ</i>",1999
75-79,945.0,Mortality,7342606,All Races,12.9,Male and Female,Melanomas of the Skin,1999
75-79,3707.0,Incidence,7251311,All Races,51.1,Male and Female,Melanomas of the Skin,1999
75-79,483.0,Mortality,7342606,All Races,6.6,Male and Female,Mesothelioma,1999
75-79,588.0,Incidence,7251311,All Races,8.1,Male and Female,Mesothelioma,1999
75-79,1926.0,Mortality,7342606,All Races,26.2,Male and Female,Myeloma,1999
75-79,2405.0,Incidence,7251311,All Races,33.2,Male and Female,Myeloma,1999
75-79,4009.0,Mortality,7342606,All Races,54.6,Male and Female,Non-Hodgkin Lymphoma,1999
75-79,6959.0,Incidence,7251311,All Races,96.0,Male and Female,Non-Hodgkin Lymphoma,1999
75-79,993.0,Mortality,7342606,All Races,13.5,Male and Female,Oral Cavity and Pharynx,1999
75-79,2944.0,Incidence,7251311,All Races,40.6,Male and Female,Oral Cavity and Pharynx,1999
75-79,2143.0,Mortality,4331221,All Races,49.5,Male and Female,Ovary,1999
75-79,2435.0,Incidence,4276338,All Races,56.9,Male and Female,Ovary,1999
75-79,4931.0,Mortality,7342606,All Races,67.2,Male and Female,Pancreas,1999
75-79,4932.0,Incidence,7251311,All Races,68.0,Male and Female,Pancreas,1999
75-79,6532.0,Mortality,3011385,All Races,216.9,Male and Female,Prostate,1999
75-79,30367.0,Incidence,2974973,All Races,1020.7,Male and Female,Prostate,1999
75-79,2064.0,Mortality,7342606,All Races,28.1,Male and Female,Stomach,1999
