YEAR,RACE,SEX,SITE,EVENT_TYPE,AGE_ADJUSTED_RATE,COUNT,POPULATION,CRUDE_RATE
2012,All Races,Female,Nasopharynx,Incidence,0.3,508.0,159480635,0.3
2012,All Races,Female,Nasopharynx,Mortality,0.1,212.0,159480635,0.1
2013,All Races,Female,Nasopharynx,Incidence,0.3,542.0,160545893,0.3
2013,All Races,Female,Nasopharynx,Mortality,0.1,176.0,160545893,0.1
2014,All Races,Female,Nasopharynx,Incidence,0.3,547.0,161690519,0.3
2014,All Races,Female,Nasopharynx,Mortality,0.1,180.0,161690519,0.1
2015,All Races,Female,Nasopharynx,Incidence,0.3,602.0,162832151,0.4
2015,All Races,Female,Nasopharynx,Mortality,0.1,226.0,162832151,0.1
2016,All Races,Female,Nasopharynx,Incidence,0.3,544.0,163986062,0.3
2016,All Races,Female,Nasopharynx,Mortality,0.1,216.0,163986062,0.1
2017,All Races,Female,Nasopharynx,Incidence,0.3,557.0,165008683,0.3
2017,All Races,Female,Nasopharynx,Mortality,0.1,208.0,165008683,0.1
2018,All Races,Female,Nasopharynx,Incidence,0.3,581.0,165877686,0.4
2018,All Races,Female,Nasopharynx,Mortality,0.1,171.0,165877686,0.1
2019,All Races,Female,Nasopharynx,Incidence,0.3,595.0,166637617,0.4
2019,All Races,Female,Nasopharynx,Mortality,0.1,191.0,166637617,0.1
2020,All Races,Female,Nasopharynx,Incidence,0.3,513.0,162239308,0.3
2020,All Races,Female,Nasopharynx,Mortality,0.1,213.0,167227921,0.1
2000,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.3,25043.0,141865770,17.7
2000,All Races,Female,Non-Hodgkin Lymphoma,Mortality,6.7,10917.0,143719004,7.6
2001,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.3,25520.0,143603977,17.8
2001,All Races,Female,Non-Hodgkin Lymphoma,Mortality,6.4,10595.0,145077463,7.3
2002,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.4,25961.0,144919222,17.9
2002,All Races,Female,Non-Hodgkin Lymphoma,Mortality,6.2,10372.0,146394634,7.1
2003,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.7,27138.0,147679036,18.4
2003,All Races,Female,Non-Hodgkin Lymphoma,Mortality,5.9,10076.0,147679036,6.8
2004,All Races,Female,Non-Hodgkin Lymphoma,Incidence,17.0,28031.0,148977286,18.8
2004,All Races,Female,Non-Hodgkin Lymphoma,Mortality,5.7,9882.0,148977286,6.6
2005,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.7,28020.0,150319521,18.6
2005,All Races,Female,Non-Hodgkin Lymphoma,Mortality,5.6,9742.0,150319521,6.5
2006,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.6,28249.0,151732647,18.6
2006,All Races,Female,Non-Hodgkin Lymphoma,Mortality,5.4,9661.0,151732647,6.4
2007,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.7,28772.0,153166353,18.8
2007,All Races,Female,Non-Hodgkin Lymphoma,Mortality,5.3,9524.0,153166353,6.2
2008,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.6,29274.0,154604015,18.9
2008,All Races,Female,Non-Hodgkin Lymphoma,Mortality,5.1,9365.0,154604015,6.1
2009,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.7,29859.0,155964075,19.1
2009,All Races,Female,Non-Hodgkin Lymphoma,Mortality,4.9,9224.0,155964075,5.9
2010,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.6,30118.0,157249665,19.2
2010,All Races,Female,Non-Hodgkin Lymphoma,Mortality,4.9,9247.0,157249665,5.9
2011,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.4,30403.0,158370501,19.2
2011,All Races,Female,Non-Hodgkin Lymphoma,Mortality,4.6,9013.0,158370501,5.7
2012,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.3,30647.0,159480635,19.2
2012,All Races,Female,Non-Hodgkin Lymphoma,Mortality,4.6,9124.0,159480635,5.7
2013,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.4,31448.0,160545893,19.6
2013,All Races,Female,Non-Hodgkin Lymphoma,Mortality,4.4,8945.0,160545893,5.6
2014,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.3,31817.0,161690519,19.7
2014,All Races,Female,Non-Hodgkin Lymphoma,Mortality,4.4,9102.0,161690519,5.6
2015,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.3,32483.0,162832151,19.9
2015,All Races,Female,Non-Hodgkin Lymphoma,Mortality,4.2,8773.0,162832151,5.4
2016,All Races,Female,Non-Hodgkin Lymphoma,Incidence,16.2,32872.0,163986062,20.0
2016,All Races,Female,Non-Hodgkin Lymphoma,Mortality,4.2,8968.0,163986062,5.5
2017,All Races,Female,Non-Hodgkin Lymphoma,Incidence,15.7,32339.0,165008683,19.6
2017,All Races,Female,Non-Hodgkin Lymphoma,Mortality,4.0,8812.0,165008683,5.3
2018,All Races,Female,Non-Hodgkin Lymphoma,Incidence,15.7,33103.0,165877686,20.0
2018,All Races,Female,Non-Hodgkin Lymphoma,Mortality,3.8,8609.0,165877686,5.2
2019,All Races,Female,Non-Hodgkin Lymphoma,Incidence,15.4,33065.0,166637617,19.8
2019,All Races,Female,Non-Hodgkin Lymphoma,Mortality,3.9,8792.0,166637617,5.3
2020,All Races,Female,Non-Hodgkin Lymphoma,Incidence,13.9,29621.0,162239308,18.3
2020,All Races,Female,Non-Hodgkin Lymphoma,Mortality,3.7,8580.0,167227921,5.1
2000,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,763.0,141865770,0.5
2000,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,166.0,143719004,0.1
2001,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,803.0,143603977,0.6
2001,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,223.0,145077463,0.2
2002,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,816.0,144919222,0.6
2002,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,169.0,146394634,0.1
2003,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,798.0,147679036,0.5
2003,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,175.0,147679036,0.1
2004,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,874.0,148977286,0.6
2004,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,198.0,148977286,0.1
2005,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,897.0,150319521,0.6
2005,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,188.0,150319521,0.1
2006,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,876.0,151732647,0.6
2006,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,204.0,151732647,0.1
2007,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,919.0,153166353,0.6
2007,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,197.0,153166353,0.1
2008,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,911.0,154604015,0.6
2008,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,218.0,154604015,0.1
2009,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,938.0,155964075,0.6
2009,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,211.0,155964075,0.1
2010,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,871.0,157249665,0.6
2010,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,208.0,157249665,0.1
2011,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,892.0,158370501,0.6
2011,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,167.0,158370501,0.1
2012,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,924.0,159480635,0.6
2012,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,173.0,159480635,0.1
2013,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,935.0,160545893,0.6
2013,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,174.0,160545893,0.1
2014,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,990.0,161690519,0.6
2014,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,186.0,161690519,0.1
2015,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,969.0,162832151,0.6
2015,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,206.0,162832151,0.1
2016,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,958.0,163986062,0.6
2016,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,193.0,163986062,0.1
2017,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,1006.0,165008683,0.6
2017,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,232.0,165008683,0.1
2018,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,1031.0,165877686,0.6
2018,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,203.0,165877686,0.1
2019,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.5,1048.0,166637617,0.6
2019,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,204.0,166637617,0.1
2020,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Incidence,0.4,917.0,162239308,0.6
2020,All Races,Female,"Nose, Nasal Cavity and Middle Ear",Mortality,0.1,232.0,167227921,0.1
2000,All Races,Female,Oral Cavity and Pharynx,Incidence,6.2,9477.0,141865770,6.7
2000,All Races,Female,Oral Cavity and Pharynx,Mortality,1.6,2540.0,143719004,1.8
2001,All Races,Female,Oral Cavity and Pharynx,Incidence,6.3,9714.0,143603977,6.8
2001,All Races,Female,Oral Cavity and Pharynx,Mortality,1.6,2546.0,145077463,1.8
2002,All Races,Female,Oral Cavity and Pharynx,Incidence,6.2,9736.0,144919222,6.7
2002,All Races,Female,Oral Cavity and Pharynx,Mortality,1.5,2553.0,146394634,1.7
2003,All Races,Female,Oral Cavity and Pharynx,Incidence,6.1,9883.0,147679036,6.7
2003,All Races,Female,Oral Cavity and Pharynx,Mortality,1.5,2480.0,147679036,1.7
2004,All Races,Female,Oral Cavity and Pharynx,Incidence,6.1,9922.0,148977286,6.7
2004,All Races,Female,Oral Cavity and Pharynx,Mortality,1.5,2514.0,148977286,1.7
2005,All Races,Female,Oral Cavity and Pharynx,Incidence,6.2,10251.0,150319521,6.8
2005,All Races,Female,Oral Cavity and Pharynx,Mortality,1.4,2500.0,150319521,1.7
2006,All Races,Female,Oral Cavity and Pharynx,Incidence,6.3,10657.0,151732647,7.0
2006,All Races,Female,Oral Cavity and Pharynx,Mortality,1.4,2454.0,151732647,1.6
2007,All Races,Female,Oral Cavity and Pharynx,Incidence,6.2,10722.0,153166353,7.0
2007,All Races,Female,Oral Cavity and Pharynx,Mortality,1.4,2557.0,153166353,1.7
2008,All Races,Female,Oral Cavity and Pharynx,Incidence,6.4,11338.0,154604015,7.3
2008,All Races,Female,Oral Cavity and Pharynx,Mortality,1.4,2531.0,154604015,1.6
2009,All Races,Female,Oral Cavity and Pharynx,Incidence,6.3,11270.0,155964075,7.2
2009,All Races,Female,Oral Cavity and Pharynx,Mortality,1.3,2450.0,155964075,1.6
2010,All Races,Female,Oral Cavity and Pharynx,Incidence,6.4,11612.0,157249665,7.4
2010,All Races,Female,Oral Cavity and Pharynx,Mortality,1.4,2659.0,157249665,1.7
2011,All Races,Female,Oral Cavity and Pharynx,Incidence,6.3,11754.0,158370501,7.4
2011,All Races,Female,Oral Cavity and Pharynx,Mortality,1.3,2534.0,158370501,1.6
2012,All Races,Female,Oral Cavity and Pharynx,Incidence,6.5,12233.0,159480635,7.7
2012,All Races,Female,Oral Cavity and Pharynx,Mortality,1.3,2661.0,159480635,1.7
2013,All Races,Female,Oral Cavity and Pharynx,Incidence,6.4,12430.0,160545893,7.7
2013,All Races,Female,Oral Cavity and Pharynx,Mortality,1.3,2623.0,160545893,1.6
2014,All Races,Female,Oral Cavity and Pharynx,Incidence,6.5,12817.0,161690519,7.9
2014,All Races,Female,Oral Cavity and Pharynx,Mortality,1.3,2636.0,161690519,1.6
2015,All Races,Female,Oral Cavity and Pharynx,Incidence,6.6,13197.0,162832151,8.1
2015,All Races,Female,Oral Cavity and Pharynx,Mortality,1.4,2872.0,162832151,1.8
2016,All Races,Female,Oral Cavity and Pharynx,Incidence,6.5,13341.0,163986062,8.1
2016,All Races,Female,Oral Cavity and Pharynx,Mortality,1.4,3020.0,163986062,1.8
2017,All Races,Female,Oral Cavity and Pharynx,Incidence,6.5,13524.0,165008683,8.2
2017,All Races,Female,Oral Cavity and Pharynx,Mortality,1.3,2891.0,165008683,1.8
2018,All Races,Female,Oral Cavity and Pharynx,Incidence,6.6,13927.0,165877686,8.4
2018,All Races,Female,Oral Cavity and Pharynx,Mortality,1.3,2937.0,165877686,1.8
2019,All Races,Female,Oral Cavity and Pharynx,Incidence,6.5,14022.0,166637617,8.4
2019,All Races,Female,Oral Cavity and Pharynx,Mortality,1.4,3117.0,166637617,1.9
2020,All Races,Female,Oral Cavity and Pharynx,Incidence,6.2,13142.0,162239308,8.1
2020,All Races,Female,Oral Cavity and Pharynx,Mortality,1.4,3226.0,167227921,1.9
2000,All Races,Female,Oropharynx,Incidence,0.2,290.0,141865770,0.2
2000,All Races,Female,Oropharynx,Mortality,0.1,181.0,143719004,0.1
2001,All Races,Female,Oropharynx,Incidence,0.2,307.0,143603977,0.2
2001,All Races,Female,Oropharynx,Mortality,0.1,189.0,145077463,0.1
2002,All Races,Female,Oropharynx,Incidence,0.2,337.0,144919222,0.2
2002,All Races,Female,Oropharynx,Mortality,0.1,175.0,146394634,0.1
2003,All Races,Female,Oropharynx,Incidence,0.2,387.0,147679036,0.3
2003,All Races,Female,Oropharynx,Mortality,0.1,163.0,147679036,0.1
2004,All Races,Female,Oropharynx,Incidence,0.2,333.0,148977286,0.2
2004,All Races,Female,Oropharynx,Mortality,0.1,194.0,148977286,0.1
2005,All Races,Female,Oropharynx,Incidence,0.2,386.0,150319521,0.3
2005,All Races,Female,Oropharynx,Mortality,0.1,205.0,150319521,0.1
2006,All Races,Female,Oropharynx,Incidence,0.2,399.0,151732647,0.3
2006,All Races,Female,Oropharynx,Mortality,0.1,177.0,151732647,0.1
2007,All Races,Female,Oropharynx,Incidence,0.2,406.0,153166353,0.3
2007,All Races,Female,Oropharynx,Mortality,0.1,215.0,153166353,0.1
2008,All Races,Female,Oropharynx,Incidence,0.2,393.0,154604015,0.3
2008,All Races,Female,Oropharynx,Mortality,0.1,220.0,154604015,0.1
2009,All Races,Female,Oropharynx,Incidence,0.2,372.0,155964075,0.2
2009,All Races,Female,Oropharynx,Mortality,0.1,194.0,155964075,0.1
2010,All Races,Female,Oropharynx,Incidence,0.2,432.0,157249665,0.3
2010,All Races,Female,Oropharynx,Mortality,0.1,233.0,157249665,0.1
2011,All Races,Female,Oropharynx,Incidence,0.2,455.0,158370501,0.3
2011,All Races,Female,Oropharynx,Mortality,0.1,245.0,158370501,0.2
2012,All Races,Female,Oropharynx,Incidence,0.2,424.0,159480635,0.3
2012,All Races,Female,Oropharynx,Mortality,0.1,238.0,159480635,0.1
2013,All Races,Female,Oropharynx,Incidence,0.2,462.0,160545893,0.3
2013,All Races,Female,Oropharynx,Mortality,0.1,243.0,160545893,0.2
2014,All Races,Female,Oropharynx,Incidence,0.3,514.0,161690519,0.3
2014,All Races,Female,Oropharynx,Mortality,0.1,263.0,161690519,0.2
2015,All Races,Female,Oropharynx,Incidence,0.2,491.0,162832151,0.3
2015,All Races,Female,Oropharynx,Mortality,0.1,295.0,162832151,0.2
2016,All Races,Female,Oropharynx,Incidence,0.2,469.0,163986062,0.3
2016,All Races,Female,Oropharynx,Mortality,0.1,272.0,163986062,0.2
2017,All Races,Female,Oropharynx,Incidence,0.2,521.0,165008683,0.3
2017,All Races,Female,Oropharynx,Mortality,0.1,287.0,165008683,0.2
2018,All Races,Female,Oropharynx,Incidence,0.3,672.0,165877686,0.4
2018,All Races,Female,Oropharynx,Mortality,0.1,286.0,165877686,0.2
2019,All Races,Female,Oropharynx,Incidence,0.3,715.0,166637617,0.4
2019,All Races,Female,Oropharynx,Mortality,0.1,319.0,166637617,0.2
2020,All Races,Female,Oropharynx,Incidence,0.3,669.0,162239308,0.4
2020,All Races,Female,Oropharynx,Mortality,0.2,350.0,167227921,0.2
2000,All Races,Female,Other Biliary,Incidence,1.1,1773.0,141865770,1.2
2000,All Races,Female,Other Biliary,Mortality,0.5,909.0,143719004,0.6
2001,All Races,Female,Other Biliary,Incidence,1.3,2137.0,143603977,1.5
2001,All Races,Female,Other Biliary,Mortality,0.5,865.0,145077463,0.6
2002,All Races,Female,Other Biliary,Incidence,1.4,2258.0,144919222,1.6
2002,All Races,Female,Other Biliary,Mortality,0.5,775.0,146394634,0.5
2003,All Races,Female,Other Biliary,Incidence,1.3,2266.0,147679036,1.5
2003,All Races,Female,Other Biliary,Mortality,0.4,782.0,147679036,0.5
2004,All Races,Female,Other Biliary,Incidence,1.4,2292.0,148977286,1.5
2004,All Races,Female,Other Biliary,Mortality,0.4,771.0,148977286,0.5
2005,All Races,Female,Other Biliary,Incidence,1.4,2426.0,150319521,1.6
2005,All Races,Female,Other Biliary,Mortality,0.4,776.0,150319521,0.5
2006,All Races,Female,Other Biliary,Incidence,1.4,2407.0,151732647,1.6
2006,All Races,Female,Other Biliary,Mortality,0.4,723.0,151732647,0.5
2007,All Races,Female,Other Biliary,Incidence,1.4,2470.0,153166353,1.6
2007,All Races,Female,Other Biliary,Mortality,0.4,766.0,153166353,0.5
2008,All Races,Female,Other Biliary,Incidence,1.4,2566.0,154604015,1.7
2008,All Races,Female,Other Biliary,Mortality,0.4,723.0,154604015,0.5
2009,All Races,Female,Other Biliary,Incidence,1.4,2674.0,155964075,1.7
2009,All Races,Female,Other Biliary,Mortality,0.4,694.0,155964075,0.4
2010,All Races,Female,Other Biliary,Incidence,1.4,2712.0,157249665,1.7
2010,All Races,Female,Other Biliary,Mortality,0.4,781.0,157249665,0.5
2011,All Races,Female,Other Biliary,Incidence,1.5,2851.0,158370501,1.8
2011,All Races,Female,Other Biliary,Mortality,0.4,765.0,158370501,0.5
2012,All Races,Female,Other Biliary,Incidence,1.4,2795.0,159480635,1.8
2012,All Races,Female,Other Biliary,Mortality,0.4,780.0,159480635,0.5
2013,All Races,Female,Other Biliary,Incidence,1.5,3044.0,160545893,1.9
2013,All Races,Female,Other Biliary,Mortality,0.4,814.0,160545893,0.5
2014,All Races,Female,Other Biliary,Incidence,1.5,2967.0,161690519,1.8
2014,All Races,Female,Other Biliary,Mortality,0.4,790.0,161690519,0.5
2015,All Races,Female,Other Biliary,Incidence,1.4,2880.0,162832151,1.8
2015,All Races,Female,Other Biliary,Mortality,0.4,817.0,162832151,0.5
2016,All Races,Female,Other Biliary,Incidence,1.4,2996.0,163986062,1.8
2016,All Races,Female,Other Biliary,Mortality,0.4,901.0,163986062,0.5
2017,All Races,Female,Other Biliary,Incidence,1.4,2972.0,165008683,1.8
2017,All Races,Female,Other Biliary,Mortality,0.4,896.0,165008683,0.5
2018,All Races,Female,Other Biliary,Incidence,1.3,2933.0,165877686,1.8
2018,All Races,Female,Other Biliary,Mortality,0.4,972.0,165877686,0.6
2019,All Races,Female,Other Biliary,Incidence,1.3,3013.0,166637617,1.8
2019,All Races,Female,Other Biliary,Mortality,0.4,978.0,166637617,0.6
2020,All Races,Female,Other Biliary,Incidence,1.3,2825.0,162239308,1.7
2020,All Races,Female,Other Biliary,Mortality,0.4,997.0,167227921,0.6
2000,All Races,Female,Other Digestive Organs,Incidence,0.3,466.0,141865770,0.3
2000,All Races,Female,Other Digestive Organs,Mortality,0.3,471.0,143719004,0.3
2001,All Races,Female,Other Digestive Organs,Incidence,0.3,561.0,143603977,0.4
2001,All Races,Female,Other Digestive Organs,Mortality,0.3,471.0,145077463,0.3
2002,All Races,Female,Other Digestive Organs,Incidence,0.3,529.0,144919222,0.4
2002,All Races,Female,Other Digestive Organs,Mortality,0.3,454.0,146394634,0.3
2003,All Races,Female,Other Digestive Organs,Incidence,0.4,593.0,147679036,0.4
2003,All Races,Female,Other Digestive Organs,Mortality,0.3,463.0,147679036,0.3
2004,All Races,Female,Other Digestive Organs,Incidence,0.4,595.0,148977286,0.4
2004,All Races,Female,Other Digestive Organs,Mortality,0.2,353.0,148977286,0.2
2005,All Races,Female,Other Digestive Organs,Incidence,0.3,570.0,150319521,0.4
2005,All Races,Female,Other Digestive Organs,Mortality,0.2,322.0,150319521,0.2
2006,All Races,Female,Other Digestive Organs,Incidence,0.4,666.0,151732647,0.4
2006,All Races,Female,Other Digestive Organs,Mortality,0.2,431.0,151732647,0.3
2007,All Races,Female,Other Digestive Organs,Incidence,0.3,624.0,153166353,0.4
2007,All Races,Female,Other Digestive Organs,Mortality,0.2,423.0,153166353,0.3
2008,All Races,Female,Other Digestive Organs,Incidence,0.4,646.0,154604015,0.4
2008,All Races,Female,Other Digestive Organs,Mortality,0.2,419.0,154604015,0.3
2009,All Races,Female,Other Digestive Organs,Incidence,0.4,707.0,155964075,0.5
2009,All Races,Female,Other Digestive Organs,Mortality,0.2,434.0,155964075,0.3
2010,All Races,Female,Other Digestive Organs,Incidence,0.4,693.0,157249665,0.4
2010,All Races,Female,Other Digestive Organs,Mortality,0.2,437.0,157249665,0.3
2011,All Races,Female,Other Digestive Organs,Incidence,0.4,779.0,158370501,0.5
2011,All Races,Female,Other Digestive Organs,Mortality,0.3,513.0,158370501,0.3
2012,All Races,Female,Other Digestive Organs,Incidence,0.4,825.0,159480635,0.5
2012,All Races,Female,Other Digestive Organs,Mortality,0.2,483.0,159480635,0.3
2013,All Races,Female,Other Digestive Organs,Incidence,0.5,954.0,160545893,0.6
2013,All Races,Female,Other Digestive Organs,Mortality,0.3,566.0,160545893,0.4
2014,All Races,Female,Other Digestive Organs,Incidence,0.5,1114.0,161690519,0.7
2014,All Races,Female,Other Digestive Organs,Mortality,0.3,589.0,161690519,0.4
2015,All Races,Female,Other Digestive Organs,Incidence,0.6,1262.0,162832151,0.8
2015,All Races,Female,Other Digestive Organs,Mortality,0.3,574.0,162832151,0.4
2016,All Races,Female,Other Digestive Organs,Incidence,0.7,1382.0,163986062,0.8
2016,All Races,Female,Other Digestive Organs,Mortality,0.3,646.0,163986062,0.4
2017,All Races,Female,Other Digestive Organs,Incidence,0.7,1414.0,165008683,0.9
2017,All Races,Female,Other Digestive Organs,Mortality,0.3,672.0,165008683,0.4
2018,All Races,Female,Other Digestive Organs,Incidence,0.7,1421.0,165877686,0.9
2018,All Races,Female,Other Digestive Organs,Mortality,0.3,729.0,165877686,0.4
2019,All Races,Female,Other Digestive Organs,Incidence,0.6,1376.0,166637617,0.8
2019,All Races,Female,Other Digestive Organs,Mortality,0.3,750.0,166637617,0.5
2020,All Races,Female,Other Digestive Organs,Incidence,0.6,1344.0,162239308,0.8
2020,All Races,Female,Other Digestive Organs,Mortality,0.3,796.0,167227921,0.5
2000,All Races,Female,Other Endocrine including Thymus,Incidence,0.6,892.0,141865770,0.6
2000,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,426.0,143719004,0.3
2001,All Races,Female,Other Endocrine including Thymus,Incidence,0.6,933.0,143603977,0.6
2001,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,449.0,145077463,0.3
2002,All Races,Female,Other Endocrine including Thymus,Incidence,0.6,921.0,144919222,0.6
2002,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,415.0,146394634,0.3
2003,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1089.0,147679036,0.7
2003,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,409.0,147679036,0.3
2004,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1103.0,148977286,0.7
2004,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,429.0,148977286,0.3
2005,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1081.0,150319521,0.7
2005,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,428.0,150319521,0.3
2006,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1087.0,151732647,0.7
2006,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,451.0,151732647,0.3
2007,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1071.0,153166353,0.7
2007,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,485.0,153166353,0.3
2008,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1162.0,154604015,0.8
2008,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,438.0,154604015,0.3
2009,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1172.0,155964075,0.8
2009,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,449.0,155964075,0.3
2010,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1224.0,157249665,0.8
2010,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,458.0,157249665,0.3
2011,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1155.0,158370501,0.7
2011,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,439.0,158370501,0.3
2012,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1230.0,159480635,0.8
2012,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,481.0,159480635,0.3
2013,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1256.0,160545893,0.8
2013,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,445.0,160545893,0.3
2014,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1209.0,161690519,0.7
2014,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,488.0,161690519,0.3
2015,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1285.0,162832151,0.8
2015,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,499.0,162832151,0.3
2016,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1297.0,163986062,0.8
2016,All Races,Female,Other Endocrine including Thymus,Mortality,0.2,470.0,163986062,0.3
2017,All Races,Female,Other Endocrine including Thymus,Incidence,0.7,1343.0,165008683,0.8
2017,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,524.0,165008683,0.3
2018,All Races,Female,Other Endocrine including Thymus,Incidence,0.8,1422.0,165877686,0.9
2018,All Races,Female,Other Endocrine including Thymus,Mortality,0.2,496.0,165877686,0.3
2019,All Races,Female,Other Endocrine including Thymus,Incidence,0.8,1443.0,166637617,0.9
2019,All Races,Female,Other Endocrine including Thymus,Mortality,0.2,489.0,166637617,0.3
2020,All Races,Female,Other Endocrine including Thymus,Incidence,0.8,1414.0,162239308,0.9
2020,All Races,Female,Other Endocrine including Thymus,Mortality,0.3,551.0,167227921,0.3
2000,All Races,Female,Other Female Genital Organs,Incidence,0.7,992.0,141865770,0.7
2000,All Races,Female,Other Female Genital Organs,Mortality,0.3,409.0,143719004,0.3
2001,All Races,Female,Other Female Genital Organs,Incidence,0.7,995.0,143603977,0.7
2001,All Races,Female,Other Female Genital Organs,Mortality,0.3,402.0,145077463,0.3
2002,All Races,Female,Other Female Genital Organs,Incidence,0.7,1057.0,144919222,0.7
2002,All Races,Female,Other Female Genital Organs,Mortality,0.3,432.0,146394634,0.3
